c,gamma
5,0.06
5.4,0.055
5.4,0.056
5.4,0.057
5.4,0.058
5.4,0.059
5.4,0.061
5.4,0.062
5.4,0.063
5.4,0.064
5.4,0.065
5.35,0.055
5.35,0.056
5.35,0.057
5.35,0.058
5.35,0.059
5.35,0.06
5.35,0.061
5.35,0.062
5.35,0.063
5.35,0.064
5.35,0.065
5.45,0.055
5.45,0.056
5.45,0.057
5.45,0.058
5.45,0.059
5.45,0.06
5.45,0.061
5.45,0.062
5.45,0.063
5.45,0.064
5.45,0.065
5.425,0.055
5.425,0.056
5.425,0.057
5.425,0.058
5.425,0.059
5.425,0.06
5.425,0.061
5.425,0.062
5.425,0.063
5.425,0.064
5.425,0.065
5.375,0.055
5.375,0.056
5.375,0.057
5.375,0.058
5.375,0.059
5.375,0.06
5.375,0.061
5.375,0.062
5.375,0.063
5.375,0.064
5.375,0.065